customer_id,first_name,last_name,email,city,signup_date
CUST0001,Angel,Hill,donaldgarcia@example.net,New Roberttown,2025-11-04
CUST0002,Jesse,Guzman,,Lake Debra,2024-10-18
CUST0003,Jeffrey,Lawrence,blakeerik@example.com,Joshuaborough,2025-08-30
CUST0004,Matthew,Davis,howardmaurice@example.com,Lake Stephenville,2026-06-15
CUST0005,Nicholas,Arnold,barbara10@example.net,Port Keith,2026-06-26
CUST0006,Jesse,Garcia,shawn52@example.com,Jasonview,2024-10-08
CUST0007,Frances,Jones,amandasanchez@example.com,Nelsonside,2025-12-18
CUST0008,Mark,Tate,perezantonio@example.com,Adamsborough,2025-01-14
CUST0009,Ashley,Robbins,dianafoster@example.net,Thomasberg,2026-05-15
CUST0010,Anna,Baker,,Hurstfurt,2025-02-02
CUST0011,Wendy,Taylor,ddavis@example.org,Lake Ernest,2025-04-24
CUST0012,Candace,Cruz,jrice@example.org,Lake Nicoleview,2025-12-03
CUST0013,Matthew,Carter,,South Aaron,2026-02-03
CUST0014,Jennifer,Stanton,williamrodriguez@example.net,Meaganhaven,2026-01-01
CUST0015,Eric,Farmer,georgetracy@example.org,Natashaport,2025-10-14
CUST0016,John,Bradley,millertodd@example.org,East Donna,2025-01-28
CUST0017,Frederick,Rose,ibrandt@example.net,Lake Larry,2026-06-07
CUST0018,Debra,Kim,omartinez@example.org,Andrewside,2026-07-11
CUST0019,Jeffrey,Jones,perezrebecca@example.com,New Johnfort,2025-01-22
CUST0020,David,Walls,,Sanchezfort,2025-01-10
CUST0021,James,Davis,agomez@example.com,Lake Deniseville,2026-03-02
CUST0022,Jessica,Mcbride,wrightjames@example.com,South Isaiah,2024-09-25
CUST0023,Nancy,Jones,williamsyvette@example.org,Port Melindaburgh,2025-07-03
CUST0024,Timothy,Hancock,martinaaron@example.com,Saramouth,2025-05-25
CUST0025,Heather,Cross,smoore@example.org,New Jillton,2025-03-01
CUST0026,Brian,Silva,brianromero@example.org,New Carlosbury,2026-01-19
CUST0027,Shelly,Hudson,harveyrobert@example.net,Sarahborough,2025-05-23
CUST0028,Leon,Baker,emilyevans@example.com,North Stephenshire,2025-11-25
CUST0029,Charles,Lewis,david51@example.org,Justinmouth,2026-07-12
CUST0030,Jade,Carr,contrerasangela@example.net,East Josephville,2026-03-20
CUST0031,Eric,Campbell,jenniferharris@example.net,Williamview,2026-01-15
CUST0032,Meghan,Davis,ccalderon@example.org,Kellieview,2026-05-09
CUST0033,Scott,Thornton,rodriguezsierra@example.net,New Barry,2024-12-05
CUST0034,Angela,Jordan,parkerrachel@example.org,Jasonbury,2025-04-29
CUST0035,Michael,Castro,vdickson@example.org,Port Francisco,2025-11-23
CUST0036,Gregory,Gutierrez,jillcook@example.com,West Erik,2026-02-24
CUST0037,Patrick,Williams,dwalker@example.com,Loribury,2025-12-17
CUST0038,Donna,Ross,michelle45@example.net,Frazierside,2025-01-17
CUST0039,Anthony,Wiley,gregory40@example.org,Reedmouth,2025-04-02
CUST0040,Tracey,Wilson,jonathanfletcher@example.org,West Ryan,2025-06-15
CUST0041,Samantha,Hanson,cortezkevin@example.com,Nguyenport,2026-06-09
CUST0042,James,Ortega,,Byrdburgh,2025-09-06
CUST0043,Kevin,Kelley,torresjason@example.net,Stevenmouth,2025-10-18
CUST0044,William,Leon,donnacampbell@example.net,Clarencebury,2025-11-29
CUST0045,Jeffrey,Gonzalez,williamstracey@example.net,South Robertshire,2025-11-27
CUST0046,Heather,Snyder,dylanwatts@example.org,Robinsonhaven,2024-12-28
CUST0047,Angela,Lowery,bryantlaurie@example.net,Stephaniemouth,2025-07-05
CUST0048,Jennifer,Wagner,vmerritt@example.com,Greenbury,2025-10-16
CUST0049,Joshua,Strickland,rsims@example.com,Lake Justinview,2026-03-24
CUST0050,Patricia,Miller,jessebenson@example.net,North Robert,2025-04-06
CUST0051,Steven,Brown,xprice@example.net,Port Nicoleshire,2025-04-02
CUST0052,Adam,Bell,acastaneda@example.net,South Jeffrey,2025-05-07
CUST0053,Anthony,Rogers,dramsey@example.org,South Brittanytown,2025-06-15
CUST0054,Roy,Camacho,brentgray@example.org,Murphyfurt,2024-10-11
CUST0055,Stephanie,Fisher,ruizkaitlyn@example.org,Jeffreyland,2025-02-24
CUST0056,Denise,Webster,jamessmith@example.org,East Thomas,2026-02-11
CUST0057,Stacie,Marshall,katie29@example.net,Port Loriport,2024-11-02
CUST0058,Anthony,Collins,tsanders@example.org,New Hannahbury,2024-10-28
CUST0059,Kendra,Jefferson,hoganashlee@example.org,Amandastad,2024-10-24
CUST0060,Deborah,Smith,gshort@example.com,Cynthiamouth,2024-10-01
